Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_base,-0.0198047434985936,0.00696657835831933,0.0308754947509077,0,0,0,1.12177687820252,0.0003055465069978,7.30796704900667E-07,5.9205620703243E-07,0.00030204773126145,3.72690749474789E-06,0.000127986493663226,0,0,0,0,0,0,package://testtestest/meshes/link_base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_base.STL,,forearm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_wrist,-0.0171985391790348,-0.00593413164701311,-0.00994449829096752,0,0,0,0.0108429852427686,2.15649154111997E-06,-2.16458612203106E-07,-3.38442515360422E-07,5.30417119113941E-06,-5.88094643327501E-07,4.5371222402673E-06,0,0,0,0,0,0,package://testtestest/meshes/link_wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_wrist.STL,,wrist-1/wrist-1,Origin_joint_wrist_main,Axis_joint_wrist_main,joint_wrist_main,revolute,-0.00076585073356319,0.00177492689368459,-0.102502244685166,0,0,0,link_base,1,0,0,1,10,-1.6,1.6,,,,,,,,
link_hand,0.00765510739530203,-0.00706031973310918,-0.0412233540111027,0,0,0,0.0205763548047501,9.86447897653442E-06,-1.11591498466975E-08,1.67627466728925E-06,1.3288021983625E-05,9.98374462515415E-08,3.53862406091828E-06,0,0,0,0,0,0,package://testtestest/meshes/link_hand.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_hand.STL,,hand-1/middlehand-1,Origin_joint_wrist_side,Axis_joint_wrist_side,joint_wrist_side,revolute,-0.019,0.00299999999999999,-0.025,0,0,0,link_wrist,0,1,0,1,10,-0.2,0.2,,,,,,,,
link_pinky_mc,-0.0059203759690887,-0.00253943656114248,-0.000564103820082901,0,0,0,0.00428637401131624,8.04620654814358E-07,2.36260932996478E-09,-1.04838916832628E-07,8.58635980335721E-07,4.04006393091763E-09,1.06674266554927E-07,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_mc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_mc.STL,,hand-1/pinky-1/pinky_middlehand_outer-1;hand-1/pinky-1/pinky_middlehand_inner-1,Origin_joint_pinky_mc,Axis_joint_pinky_mc,joint_pinky_mc,revolute,-0.0161450707519224,-0.00574999999999998,-0.0355,0,0,0,link_hand,0,0,-1,1,10,0,0.2,,,,,,,,
link_pinky_mcp,-0.000283337272530715,0.000145915839622297,-0.00824838589216256,0,0,0,0.00263164527125259,1.23961325248666E-07,-6.95061846353763E-10,6.02485122306581E-09,1.45505516064213E-07,1.11023684980407E-08,1.19909747893478E-07,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_mcp.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_mcp.STL,,hand-1/pinky-1/finger_basic-1/mcp-1,Origin_joint_pinky_mcp_side,Axis_joint_pinky_mcp_side,joint_pinky_mcp_side,revolute,-0.0105290009722171,-0.00363354352210761,-0.0170240603533944,0,0.174532925199435,0.174532925199434,link_pinky_mc,0,1,0,1,10,-0.3,0.3,,,,,,,,
link_pinky_1,0.00395146083568317,0.000247987036537793,-0.0149510205819647,0,0,0,0.00327229681404755,3.98072470259668E-07,1.41167797983405E-10,2.02951308433353E-08,3.62037977914405E-07,4.92309287639388E-09,5.34263549163124E-08,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_1.STL,,hand-1/pinky-1/finger_basic-1/finger_1-1,Origin_joint_pinky_1,Axis_joint_pinky_1,joint_pinky_1,revolute,-0.00450000000000002,0.001,-0.0165,0,0,0,link_pinky_mcp,-1,0,0,1,10,-0.1,1.6,,,,,,,,
link_pinky_2,0.00456143296494704,0.00125888236645603,-0.00914548094610548,0,0,0,0.00244022391195931,1.60707046367797E-07,6.61808210200058E-09,-2.66702945634091E-09,1.59304764823913E-07,7.16740314410493E-09,4.49414600595427E-08,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_2.STL,,hand-1/pinky-1/finger_basic-1/finger_2-1,Origin_joint_pinky_2,Axis_joint_pinky_2,joint_pinky_2,revolute,-0.000499999999999994,0,-0.034,0,0,0,link_pinky_1,1,0,0,1,10,0,1.6,,,,,,,,
link_pinky_3,0.00273030244847279,-0.00104825401586585,-0.00866828360094679,0,0,0,0.00104723127104546,3.69490329908385E-08,3.34797510800586E-11,9.9243545371183E-11,4.01865868310451E-08,-2.91666203940721E-09,1.21445666314407E-08,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_pinky_3.STL,,hand-1/pinky-1/finger_basic-1/finger_3-1,Origin_joint_pinky_3,Axis_joint_pinky_3,joint_pinky_3,revolute,0.00200000000000002,0.00150000000000002,-0.02,0,0,0,link_pinky_2,1,0,0,1,10,0,1.6,,,,,,,,
link_ring_mcp,-0.000128280970110622,0.000145915839652078,-0.00820683868113678,0,0,0,0.00263164527123809,1.25480131365887E-07,-4.01601004664966E-10,3.36165360291644E-09,1.45748459576507E-07,1.11810010936279E-08,1.18633885289558E-07,0,0,0,0,0,0,package://testtestest/meshes/link_ring_mcp.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_ring_mcp.STL,,hand-1/finger_basic-1/mcp-1,Origin_joint_ring_mcp,Axis_joint_ring_mcp,joint_ring_mcp,revolute,-0.0101450707519223,-0.00749999999999998,-0.0654910493078137,0,0.104719755119667,0,link_hand,0,-1,0,1,10,-0.3,0.3,,,,,,,,
link_ring_1,0.00405308797493035,0.000178262786963203,-0.0179537643681192,0,0,0,0.00394026493331525,6.15609469091871E-07,2.23412215794109E-10,2.52391778569582E-08,5.71401434623744E-07,5.59394435907748E-09,6.41172815122896E-08,0,0,0,0,0,0,package://testtestest/meshes/link_ring_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_ring_1.STL,,hand-1/finger_basic-1/finger_1-1,Origin_joint_ring_1,Axis_joint_ring_1,joint_ring_1,revolute,-0.0045,0.000999999999999999,-0.0165,0,0,0,link_ring_mcp,-1,0,0,1,10,-0.1,1.6,,,,,,,,
